player_name,actual_rank_2024,predicted_rank_2026,scouting_trend,total_seasonal_points,predicted_2026_points
Baisya Poymantee,18,1,↑ (+17),55.0,187.33
Ayhika Mukherjee,27,2,↑ (+25),33.0,181.53
Vartikar Pritha,23,3,↑ (+20),47.0,166.84
Chitale Diya Parag,1,4,↓ (-3),360.0,138.71
Akula Sreeja,8,5,↑ (+3),120.0,136.09
Baskar Kavyasree,16,6,↑ (+10),60.0,131.67
Gogoi Trisha,14,7,↑ (+7),70.0,131.16
Sivashankar Yashini,7,8,↓ (-1),125.0,126.89
Mukherjee Sutirtha,2,9,↓ (-7),255.0,122.65
Dutta Moumita,26,10,↑ (+16),35.0,100.53
Saini Suhana,10,11,↓ (-1),95.0,99.98
Ghorpade Yashaswini,4,12,↓ (-8),225.0,99.77
Das Mouma,18,13,↑ (+5),55.0,95.25
Rishya Reeth,12,14,↓ (-2),90.0,94.31
Harsha Vardhini Calange Ravichandran,31,15,↑ (+16),27.0,91.74
Joardar Oishiki,29,16,↑ (+13),30.0,91.56
Jaiswal Varuni,34,17,↑ (+17),22.0,91.2
Viswanath Kushi,25,17,↑ (+8),42.0,91.2
De Sataporni,34,19,↑ (+15),22.0,90.82
Bhargava Vanshika,33,19,↑ (+14),24.0,90.82
Kutumbale Anusha,5,21,↓ (-16),175.0,88.74
Ghosh Swastika,3,22,↓ (-19),240.0,88.59
Kundu Munmun,24,23,↑ (+1),45.0,88.08
Nath Kaushani,18,23,↓ (-5),55.0,88.08
Mani Nithyashree,18,23,↓ (-5),55.0,88.08
Selena Deepti Selvakumar,10,23,↓ (-13),95.0,88.08
Chipia Frenaz,28,27,↑ (+1),32.0,88.02
Das Ankita,40,28,↑ (+12),7.0,87.86
Venkatesan Kowshika,36,29,↑ (+7),20.0,87.71
Goel Radhapriya,38,30,↑ (+8),16.0,86.91
Deshpande Divya,37,31,↑ (+6),18.0,85.43
D'souza Senhora Cezinha,13,31,↓ (-18),72.0,85.43
Narang Lakshita,22,33,↓ (-11),50.0,84.89
Sen Prapti,15,34,↓ (-19),65.0,84.76
Sarkar Takeme,17,34,↓ (-17),57.0,84.76
Krittwika Sinha Roy,9,34,↓ (-25),115.0,84.76
Amrutha Pushpak Shekhar,32,37,↓ (-5),25.0,84.47
Mukherjee Sagarika,39,38,↑ (+1),10.0,84.32
Amrute Shruti Vijay,30,39,↓ (-9),29.0,84.22
Patkar Madhurika,6,39,↓ (-33),140.0,84.22
